model_name,eclipse,eclipse_extent,train_origin,val_acc,val_auc,val_prauc,test0_acc,test0_auc,test0_prauc,test1_acc,test1_auc,test1_prauc
vit_b_16,True,0.9,Chile,0.8875,0.941875,0.9809390823365502,0.5363128491620112,0.5769326800037452,0.5627059310594544,0.3943502824858757,0.4096875834445928,0.34970009242454253
vit_b_16,True,0.9,Ohio,0.875,0.9398148148148148,0.9603922800496045,0.6113636363636363,0.5684090909090909,0.8231183254027834,0.41129943502824856,0.5175834445927904,0.4099901388952387
vit_b_16,True,0.9,Turkey,0.6627906976744186,0.6818116462976276,0.5842907716767513,0.6659090909090909,0.6094214876033058,0.8207580573820802,0.4329608938547486,0.44374395306014175,0.49279149252187754
