model_name,eclipse,eclipse_extent,train_origin,val_acc,val_auc,val_prauc,test0_acc,test0_auc,test0_prauc,test1_acc,test1_auc,test1_prauc
densenet161,True,0.9,Chile,0.8875,0.9412499999999999,0.9746002033013197,0.4972067039106145,0.6606847476670517,0.7044168836716658,0.3954802259887006,0.4546728971962617,0.3727707253224693
densenet161,True,0.9,Ohio,0.875,0.9799382716049383,0.98557278208441,0.7193181818181819,0.34632575757575756,0.6781577437285089,0.39661016949152544,0.4875060080106809,0.44077588709121296
densenet161,True,0.9,Turkey,0.6104651162790697,0.5840402588066141,0.47827148395626445,0.43863636363636366,0.4385330578512397,0.7753355142512517,0.6284916201117319,0.6865266377453887,0.7379205553504449
